,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
37,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2005,6,2005,11,dieri,production,3675.0
38,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2005,6,2005,11,dieri,yield,0.4599499374217772
39,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2006,6,2006,11,dieri,area,13996.0
40,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2006,6,2006,11,dieri,production,3499.0
41,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2006,6,2006,11,dieri,yield,0.25
42,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2007,6,2007,11,dieri,area,10776.0
43,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2007,6,2007,11,dieri,production,10776.0
44,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2007,6,2007,11,dieri,yield,1.0
45,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2008,6,2008,11,dieri,area,9397.0
46,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2008,6,2008,11,dieri,production,1879.0
47,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2008,6,2008,11,dieri,yield,0.19995743322336917
48,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2009,6,2009,11,dieri,area,16646.0
49,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2009,6,2009,11,dieri,production,6658.0
50,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2009,6,2009,11,dieri,yield,0.3999759702030518
51,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2010,6,2010,11,dieri,area,8705.0
52,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2010,6,2010,11,dieri,production,2698.0
53,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2010,6,2010,11,dieri,yield,0.3099368179207352
54,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2011,6,2011,11,dieri,area,5150.0
55,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2011,6,2011,11,dieri,production,1515.0
56,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2011,6,2011,11,dieri,yield,0.2941747572815534
57,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2012,6,2012,11,dieri,area,5173.0
58,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2012,6,2012,11,dieri,production,1552.0
59,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2012,6,2012,11,dieri,yield,0.30001933114247054
60,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2013,6,2013,11,dieri,area,12079.0
61,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2013,6,2013,11,dieri,production,3164.0
62,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2013,6,2013,11,dieri,yield,0.2619422137594172
63,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2014,6,2014,11,dieri,area,7774.0
64,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2014,6,2014,11,dieri,production,1813.0
65,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2014,6,2014,11,dieri,yield,0.2332132750192951
66,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2015,6,2015,11,dieri,area,8554.0
67,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2015,6,2015,11,dieri,production,2062.0
68,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2015,6,2015,11,dieri,yield,0.24105681552490063
69,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2016,6,2016,11,dieri,area,7901.0
70,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2016,6,2016,11,dieri,production,1858.0
71,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Millet,Main,2016,6,2016,11,dieri,yield,0.23516010631565626
72,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1989,6,1989,11,All (PS),area,39979.0
73,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1989,6,1989,11,All (PS),production,14016.0
74,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1989,6,1989,11,All (PS),yield,0.35058405662973063
75,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1990,6,1990,11,All (PS),area,36146.0
76,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1990,6,1990,11,All (PS),production,20333.0
77,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1990,6,1990,11,All (PS),yield,0.5625242073811764
78,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1991,6,1991,11,All (PS),area,17172.0
79,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1991,6,1991,11,All (PS),production,4795.0
80,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1991,6,1991,11,All (PS),yield,0.27923363615187513
81,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1992,6,1992,11,All (PS),area,24330.0
82,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1992,6,1992,11,All (PS),production,12954.0
83,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1992,6,1992,11,All (PS),yield,0.5324290998766954
84,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1993,6,1993,11,All (PS),area,30527.0
85,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1993,6,1993,11,All (PS),production,13847.0
86,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1993,6,1993,11,All (PS),yield,0.45359845382775904
87,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1998,6,1998,11,All (PS),area,37787.0
88,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1998,6,1998,11,All (PS),production,13650.0
89,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Annual,1998,6,1998,11,All (PS),yield,0.3612353454891894
90,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,1999,6,1999,11,dieri,area,35168.0
91,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,1999,6,1999,11,dieri,production,18991.0
92,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,1999,6,1999,11,dieri,yield,0.5400079617834395
93,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2000,6,2000,11,dieri,area,48383.0
94,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2000,6,2000,11,dieri,production,25159.0
95,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2000,6,2000,11,dieri,yield,0.5199966930533452
96,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2001,6,2001,11,dieri,area,60448.0
97,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2001,6,2001,11,dieri,production,19347.0
98,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2001,6,2001,11,dieri,yield,0.32006021704605614
99,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2002,6,2002,11,dieri,area,25819.0
100,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2002,6,2002,11,dieri,production,3888.0
101,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2002,6,2002,11,dieri,yield,0.15058677717959643
102,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2003,6,2003,11,dieri,area,38408.0
103,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2003,6,2003,11,dieri,production,16487.0
104,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2003,6,2003,11,dieri,yield,0.42925952926473654
105,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2004,6,2004,11,dieri,area,40627.0
106,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2004,6,2004,11,dieri,production,3453.0
107,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2004,6,2004,11,dieri,yield,0.08499273881901198
108,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2005,6,2005,11,dieri,area,36096.0
109,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2005,6,2005,11,dieri,production,18048.0
110,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2005,6,2005,11,dieri,yield,0.5
111,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2006,6,2006,11,dieri,area,39878.0
112,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2006,6,2006,11,dieri,production,11963.0
113,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2006,6,2006,11,dieri,yield,0.2999899694066904
114,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2007,6,2007,11,dieri,area,43638.0
115,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2007,6,2007,11,dieri,production,17455.0
116,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2007,6,2007,11,dieri,yield,0.39999541683853523
117,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2008,6,2008,11,dieri,area,35334.0
118,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2008,6,2008,11,dieri,production,15194.0
119,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2008,6,2008,11,dieri,yield,0.4300107545140658
120,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2009,6,2009,11,dieri,area,42368.0
121,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2009,6,2009,11,dieri,production,21184.0
122,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2009,6,2009,11,dieri,yield,0.5
123,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2010,6,2010,11,dieri,area,91066.0
124,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2010,6,2010,11,dieri,production,39129.0
125,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2010,6,2010,11,dieri,yield,0.42967737684756113
126,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2011,6,2011,11,dieri,area,17746.0
127,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2011,6,2011,11,dieri,production,1775.0
128,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2011,6,2011,11,dieri,yield,0.10002254029076975
129,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2012,6,2012,11,dieri,area,68556.0
130,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2012,6,2012,11,dieri,production,3593.0
131,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2012,6,2012,11,dieri,yield,0.05240970885115818
132,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2013,6,2013,11,dieri,area,72000.0
133,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2013,6,2013,11,dieri,production,33351.0
134,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2013,6,2013,11,dieri,yield,0.46320833333333333
135,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2014,6,2014,11,dieri,area,52687.0
136,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2014,6,2014,11,dieri,production,17584.0
137,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2014,6,2014,11,dieri,yield,0.33374456697097954
138,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2015,6,2015,11,dieri,area,68548.0
139,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2015,6,2015,11,dieri,production,24636.0
140,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2015,6,2015,11,dieri,yield,0.35939779424636753
141,MR1990A101,Mauritania,MR,Hodh ech Chargui,none,Hodh ech Chargui,Sorghum,Main,2016,6,2016,11,dieri,area,58969.0
