,fnid,country,country_code,admin_1,admin_2,name,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,indicator,value
36,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Maize,Main,2014,4,2014,9,none,area,19777.27371449
37,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Maize,Main,2014,4,2014,9,none,production,20161.06429778
38,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Maize,Main,2014,4,2014,9,none,yield,1.0194056364305064
39,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Maize,Main,2015,4,2015,9,none,area,24157.69880857
40,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Maize,Main,2015,4,2015,9,none,production,24157.69880857
41,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Maize,Main,2015,4,2015,9,none,yield,1.0
42,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Maize,Main,2016,4,2016,9,none,area,25365.583749
43,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Maize,Main,2016,4,2016,9,none,production,27902.1421239
44,CF2003A111,Central African Republic,CF,Ombella-Mpoko,none,Ombella-Mpoko,Maize,Main,2016,4,2016,9,none,yield,1.1
45,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Sesame Seed,Main,2014,4,2014,9,none,area,554.51204556
46,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Sesame Seed,Main,2014,4,2014,9,none,production,647.68142051
47,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Sesame Seed,Main,2014,4,2014,9,none,yield,1.1680204707832964
48,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Sesame Seed,Main,2015,4,2015,9,none,area,922.68900779
49,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Sesame Seed,Main,2015,4,2015,9,none,production,830.42010702
50,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Sesame Seed,Main,2015,4,2015,9,none,yield,0.9000000000097541
51,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Sesame Seed,Main,2016,4,2016,9,none,area,1411.71418193
52,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Sesame Seed,Main,2016,4,2016,9,none,production,1270.54276373
53,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Sesame Seed,Main,2016,4,2016,9,none,yield,0.8999999999950414
54,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Groundnuts (In Shell),Main,2014,4,2014,9,none,area,3216.77196094
55,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Groundnuts (In Shell),Main,2014,4,2014,9,none,production,2722.2157271
56,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Groundnuts (In Shell),Main,2014,4,2014,9,none,yield,0.84625698064855
57,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Groundnuts (In Shell),Main,2015,4,2015,9,none,area,3550.22301076
58,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Groundnuts (In Shell),Main,2015,4,2015,9,none,production,2840.17840861
59,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Groundnuts (In Shell),Main,2015,4,2015,9,none,yield,0.8000000000005634
60,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Groundnuts (In Shell),Main,2016,4,2016,9,none,area,5360.83674625
61,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Groundnuts (In Shell),Main,2016,4,2016,9,none,production,4288.669397
62,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Groundnuts (In Shell),Main,2016,4,2016,9,none,yield,0.7999999999999999
63,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Rice,Main,2014,4,2014,9,none,area,340.07027959
64,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Rice,Main,2014,4,2014,9,none,production,384.14191387
65,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Rice,Main,2014,4,2014,9,none,yield,1.1295956657345483
66,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Rice,Main,2015,4,2015,9,none,area,453.98589821
67,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Rice,Main,2015,4,2015,9,none,production,499.38448803
68,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Rice,Main,2015,4,2015,9,none,yield,1.0999999999977972
69,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Rice,Main,2016,4,2016,9,none,area,653.73969342
70,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Rice,Main,2016,4,2016,9,none,production,719.11366276
71,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Rice,Main,2016,4,2016,9,none,yield,1.0999999999969408
72,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Cassava,Main,2014,4,2014,9,none,area,8935.90496319
73,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Cassava,Main,2014,4,2014,9,none,production,29914.62763505
74,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Cassava,Main,2014,4,2014,9,none,yield,3.3476886513764885
75,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Cassava,Main,2015,4,2015,9,none,area,11525.93005939
76,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Cassava,Main,2015,4,2015,9,none,production,39188.16220192
77,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Cassava,Main,2015,4,2015,9,none,yield,3.3999999999994794
78,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Cassava,Main,2016,4,2016,9,none,area,20055.11830333
79,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Cassava,Main,2016,4,2016,9,none,production,68187.40223134
80,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Cassava,Main,2016,4,2016,9,none,yield,3.400000000000898
81,CF2003A112,Central African Republic,CF,Lobaye,none,Lobaye,Maize,Main,2014,4,2014,9,none,area,8433.2575135
