,country,source_organization,source_document,geographic_unit_full_name,geographic_unit_name,fnid,admin_0,admin_1,admin_2,admin_3,admin_4,population_group,crop_production_system,start_date,period_date,season_name,season_type,season_date,season_year,planting_start_date,planting_end_date,harvest_start_date,harvest_end_date,vegetative_start_date,vegetative_end_date,reproductive_start_date,reproductive_end_date,document_type,preference_rating,indicator_group,indicator,status,value,population,value_per_capita,product,country_code,locality_name,unit,unit_name,cpcv2,cpcv2_description,geographic_group,fewsnet_region,id,datacollectionperiod,datacollection,datasourcedocument,datasourceorganization,indicator_abbreviation,locality,geographic_unit,season,dataseries,dataseries_name,specialization_type,dataseries_specialization_type,data_usage_policy,created,modified,status_changed,collection_status,collection_status_changed,collection_schedule,collection_date,publication_name,submitted_by
55,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Grand Kru, Liberia",Grand Kru,LR1985A118,Liberia,Grand Kru,,,,,,1996-12-01,1996-12-31,Main harvest,Harvest,1996-08-01,Main harvest 1996,,,,,,,,,Final Government Crop Production,,Crop Production,Yield,Not Collected,,,,Rice (Paddy),LR,"Grand Kru, Liberia (01/01/1985 - 12/31/1999)",MT/ha,tonnes per hectare,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854171,60647,68094,1636,617,crop:yield,12681,46129,92,921006,"FEWS Agman Archive, Liberia: Grand Kru, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:yield: tonnes per hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:37,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:53,Ad Hoc,1996-12-31,"FEWS Agman Archive, Liberia",
56,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Margibi, Liberia",Margibi,LR1985A124,Liberia,Margibi,,,,,,1997-12-01,1997-12-31,Main harvest,Harvest,1997-08-01,Main harvest 1997,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,,,Rice (Paddy),LR,"Margibi, Liberia (01/01/1985 - 12/31/1999)",ha,hectare,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854256,60648,68095,1636,617,crop:harvested,12675,46130,92,920979,"FEWS Agman Archive, Liberia: Margibi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:38,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:53,Ad Hoc,1997-12-31,"FEWS Agman Archive, Liberia",
57,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Margibi, Liberia",Margibi,LR1985A124,Liberia,Margibi,,,,,,1996-12-01,1996-12-31,Main harvest,Harvest,1996-08-01,Main harvest 1996,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,,,Rice (Paddy),LR,"Margibi, Liberia (01/01/1985 - 12/31/1999)",ha,hectare,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854176,60647,68094,1636,617,crop:harvested,12675,46130,92,920979,"FEWS Agman Archive, Liberia: Margibi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:37,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:53,Ad Hoc,1996-12-31,"FEWS Agman Archive, Liberia",
58,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Margibi, Liberia",Margibi,LR1985A124,Liberia,Margibi,,,,,,1995-12-01,1995-12-31,Main harvest,Harvest,1995-08-01,Main harvest 1995,,,,,,,,,Final Government Crop Production,,Crop Production,Area Harvested,Not Collected,,,,Rice (Paddy),LR,"Margibi, Liberia (01/01/1985 - 12/31/1999)",ha,hectare,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854124,60646,68093,1636,617,crop:harvested,12675,46130,92,920979,"FEWS Agman Archive, Liberia: Margibi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:harvested: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:36,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:54,Ad Hoc,1995-12-31,"FEWS Agman Archive, Liberia",
59,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Margibi, Liberia",Margibi,LR1985A124,Liberia,Margibi,,,,,,1997-12-01,1997-12-31,Main harvest,Harvest,1997-08-01,Main harvest 1997,,,,,,,,,Final Government Crop Production,,Crop Production,Area Planted,Collected,7669.0,,,Rice (Paddy),LR,"Margibi, Liberia (01/01/1985 - 12/31/1999)",ha,hectare,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854257,60648,68095,1636,617,crop:planted,12675,46130,92,920980,"FEWS Agman Archive, Liberia: Margibi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:planted: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:38,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:53,Ad Hoc,1997-12-31,"FEWS Agman Archive, Liberia",
60,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Margibi, Liberia",Margibi,LR1985A124,Liberia,Margibi,,,,,,1996-12-01,1996-12-31,Main harvest,Harvest,1996-08-01,Main harvest 1996,,,,,,,,,Final Government Crop Production,,Crop Production,Area Planted,Not Collected,,,,Rice (Paddy),LR,"Margibi, Liberia (01/01/1985 - 12/31/1999)",ha,hectare,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854177,60647,68094,1636,617,crop:planted,12675,46130,92,920980,"FEWS Agman Archive, Liberia: Margibi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:planted: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:37,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:53,Ad Hoc,1996-12-31,"FEWS Agman Archive, Liberia",
61,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Margibi, Liberia",Margibi,LR1985A124,Liberia,Margibi,,,,,,1995-12-01,1995-12-31,Main harvest,Harvest,1995-08-01,Main harvest 1995,,,,,,,,,Final Government Crop Production,,Crop Production,Area Planted,Not Collected,,,,Rice (Paddy),LR,"Margibi, Liberia (01/01/1985 - 12/31/1999)",ha,hectare,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854125,60646,68093,1636,617,crop:planted,12675,46130,92,920980,"FEWS Agman Archive, Liberia: Margibi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:planted: hectare",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:36,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:54,Ad Hoc,1995-12-31,"FEWS Agman Archive, Liberia",
62,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Margibi, Liberia",Margibi,LR1985A124,Liberia,Margibi,,,,,,1997-12-01,1997-12-31,Main harvest,Harvest,1997-08-01,Main harvest 1997,,,,,,,,,Final Government Crop Production,,Crop Production,Quantity Produced,Collected,9710.0,,,Rice (Paddy),LR,"Margibi, Liberia (01/01/1985 - 12/31/1999)",t,Tonne,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854258,60648,68095,1636,617,crop:quantity,12675,46130,92,920981,"FEWS Agman Archive, Liberia: Margibi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:quantity: Tonne",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:38,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:53,Ad Hoc,1997-12-31,"FEWS Agman Archive, Liberia",
63,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Margibi, Liberia",Margibi,LR1985A124,Liberia,Margibi,,,,,,1996-12-01,1996-12-31,Main harvest,Harvest,1996-08-01,Main harvest 1996,,,,,,,,,Final Government Crop Production,,Crop Production,Quantity Produced,Collected,2600.0,,,Rice (Paddy),LR,"Margibi, Liberia (01/01/1985 - 12/31/1999)",t,Tonne,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854178,60647,68094,1636,617,crop:quantity,12675,46130,92,920981,"FEWS Agman Archive, Liberia: Margibi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:quantity: Tonne",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:37,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:53,Ad Hoc,1996-12-31,"FEWS Agman Archive, Liberia",
64,Liberia,"Ministry of Agriculture, Liberia","FEWS NET Agro Maps, Liberia","Margibi, Liberia",Margibi,LR1985A124,Liberia,Margibi,,,,,,1995-12-01,1995-12-31,Main harvest,Harvest,1995-08-01,Main harvest 1995,,,,,,,,,Final Government Crop Production,,Crop Production,Quantity Produced,Collected,600.0,,,Rice (Paddy),LR,"Margibi, Liberia (01/01/1985 - 12/31/1999)",t,Tonne,R01132AA,"Rice, not husked, unspecified",Western Africa,West Africa,3854126,60646,68093,1636,617,crop:quantity,12675,46130,92,920981,"FEWS Agman Archive, Liberia: Margibi, Liberia (From 01/01/1985): R01132AA - Rice (Paddy), unspecified: Main harvest: crop: crop:quantity: Tonne",/SurveyIndicatorValue/CropProductionIndicatorValue/,/SurveyPopulationIndicator/CropProductionIndicator/,Public,2018-04-30T21:08:36,2018-04-30T21:08:55,2018-04-30T21:08:55,Published,2018-09-05T17:44:54,Ad Hoc,1995-12-31,"FEWS Agman Archive, Liberia",
